Date,Adj Close
2014-01-02,556.004972
2014-01-03,551.948999
2014-01-06,558.102883
2014-01-07,568.862096
2014-01-08,570.045943
2014-01-09,564.556416
2014-01-10,564.526426
2014-01-13,560.930026
2014-01-14,574.126886
2014-01-15,573.737269
2014-01-16,577.533436
2014-01-17,574.691299
2014-01-21,581.269747
2014-01-22,581.929085
2014-01-23,579.471546
2014-01-24,561.35459
2014-01-27,550.065849
2014-01-28,560.94502
2014-01-29,552.908048
2014-01-30,567.128832
2014-01-31,589.896102
2014-02-03,566.149832
2014-02-04,568.512445
2014-02-05,571.029962
2014-02-06,579.401591
2014-02-07,588.132849
2014-02-10,585.880095
2014-02-11,594.496536
2014-02-12,592.753234
2014-02-13,599.351695
2014-02-14,600.800244
2014-02-18,604.836204
2014-02-19,600.570489
2014-02-20,601.454563
2014-02-21,601.294763
2014-02-24,605.650385
2014-02-25,609.391653
2014-02-26,609.476541
2014-02-27,608.997078
2014-02-28,607.21883
2014-03-03,600.745284
2014-03-04,606.849165
2014-03-05,608.522511
2014-03-06,609.196844
2014-03-07,606.789247
2014-03-10,605.180837
2014-03-11,599.396618
2014-03-12,603.047979
2014-03-13,593.937081
2014-03-14,585.81522
2014-03-17,595.455584
2014-03-18,605.025994
2014-03-19,599.027014
2014-03-20,597.983016
2014-03-21,590.930063
2014-03-24,578.387583
2014-03-25,578.782219
2014-03-26,565.420539
2014-03-27,558.462551
2014-03-28,559.992565
2014-03-31,556.972503
2014-04-01,567.162558
2014-04-02,567.002574
2014-04-03,569.742571
2014-04-04,543.14246
2014-04-07,538.152456
2014-04-08,554.902495
2014-04-09,564.142557
2014-04-10,540.952433
2014-04-11,530.602392
2014-04-14,532.522392
2014-04-15,536.442444
2014-04-16,556.54249
2014-04-17,536.1024
2014-04-21,528.622414
2014-04-22,534.812425
2014-04-23,526.942391
2014-04-24,525.162363
2014-04-25,516.182352
2014-04-28,517.152359
2014-04-29,527.70241
2014-04-30,526.662388
2014-05-01,531.352435
2014-05-02,527.932411
2014-05-05,527.812392
2014-05-06,515.14233
2014-05-07,509.962321
2014-05-08,511.002313
2014-05-09,518.732375
2014-05-12,529.922427
2014-05-13,533.092437
2014-05-14,526.652412
2014-05-15,519.982324
2014-05-16,520.632362
2014-05-19,528.862391
2014-05-20,529.772418
2014-05-21,538.942465
2014-05-22,545.062459
2014-05-23,552.702492
2014-05-27,565.952575
2014-05-28,561.682564
2014-05-29,560.082534
2014-05-30,559.892559
2014-06-02,553.932488
2014-06-03,544.94244
2014-06-04,544.662436
2014-06-05,553.902499
2014-06-06,556.332503
2014-06-09,562.122552
2014-06-10,560.552511
2014-06-11,558.842499
2014-06-12,551.352476
2014-06-13,551.762475
2014-06-16,544.282488
2014-06-17,543.012465
2014-06-18,553.372481
2014-06-19,554.902495
2014-06-20,556.362492
2014-06-23,564.952579
2014-06-24,564.622572
2014-06-25,578.652627
2014-06-26,576.002598
2014-06-27,577.242632
2014-06-30,575.282606
2014-07-01,582.672624
2014-07-02,582.33766
2014-07-03,584.732656
2014-07-07,582.252649
2014-07-08,571.092587
2014-07-09,576.08259
2014-07-10,571.102563
2014-07-11,579.182645
2014-07-14,584.872627
2014-07-15,584.782659
2014-07-16,582.662648
2014-07-17,573.732579
2014-07-18,595.082696
2014-07-21,589.472645
2014-07-22,594.742713
2014-07-23,595.982686
2014-07-24,593.352671
2014-07-25,589.022681
2014-07-28,590.602697
2014-07-29,585.612633
2014-07-30,587.42265
2014-07-31,571.602592
2014-08-01,566.072533
2014-08-04,573.152619
2014-08-05,565.072537
2014-08-06,566.376589
2014-08-07,563.362525
2014-08-08,568.772565
2014-08-11,567.882551
2014-08-12,562.732562
2014-08-13,574.782577
2014-08-14,574.652582
2014-08-15,573.482626
2014-08-18,582.162619
2014-08-19,586.862643
2014-08-20,584.492618
2014-08-21,583.372664
2014-08-22,582.562642
2014-08-25,580.202654
2014-08-26,577.862619
2014-08-27,571.002557
2014-08-28,569.202577
2014-08-29,571.602592
2014-09-02,577.332601
2014-09-03,577.942611
2014-09-04,581.982621
2014-09-05,586.082672
2014-09-08,589.722659
2014-09-09,581.012615
2014-09-10,583.102636
2014-09-11,581.352659
2014-09-12,575.622589
2014-09-15,573.102616
2014-09-16,579.95264
2014-09-17,584.772622
2014-09-18,589.272695
2014-09-19,596.082692
2014-09-22,587.372648
2014-09-23,581.132634
2014-09-24,587.992634
2014-09-25,575.062581
2014-09-26,577.1026
2014-09-29,576.362594
2014-09-30,577.36259
2014-10-01,568.272597
2014-10-02,570.082554
2014-10-03,575.282606
2014-10-06,577.352614
2014-10-07,563.742534
2014-10-08,572.502582
2014-10-09,560.882518
2014-10-10,544.492476
2014-10-13,533.212394
2014-10-14,537.942408
2014-10-15,530.032409
2014-10-16,524.512387
2014-10-17,511.172305
2014-10-20,520.842349
2014-10-21,526.542369
2014-10-22,532.712427
2014-10-23,543.982471
2014-10-24,539.782415
2014-10-27,540.772435
2014-10-28,548.902458
2014-10-29,549.33247
2014-10-30,550.312514
2014-10-31,559.082538
2014-11-03,555.222525
2014-11-04,554.112486
2014-11-05,545.922484
2014-11-06,542.042458
2014-11-07,541.012473
2014-11-10,547.492463
2014-11-11,550.292501
2014-11-12,547.312465
2014-11-13,545.38249
2014-11-14,544.402446
2014-11-17,536.512399
2014-11-18,535.032449
2014-11-19,536.992415
2014-11-20,534.832438
2014-11-21,537.502419
2014-11-24,539.272471
2014-11-25,541.082428
2014-11-26,540.372473
2014-11-28,541.832471
2014-12-01,533.802391
2014-12-02,533.752389
2014-12-03,531.322384
2014-12-04,537.312445
2014-12-05,525.262369
2014-12-08,526.982357
2014-12-09,533.37244
2014-12-10,526.062353
2014-12-11,528.34241
2014-12-12,518.662359
2014-12-15,513.802351
2014-12-16,495.392242
2014-12-17,504.892295
2014-12-18,511.102319
2014-12-19,516.352313
2014-12-22,524.872383
2014-12-23,530.592416
2014-12-24,528.772422
2014-12-26,534.032392
2014-12-29,530.332426
2014-12-30,530.422394
2014-12-31,526.402397
2015-01-02,524.812404
2015-01-05,513.872306
2015-01-06,501.962262
2015-01-07,501.102268
2015-01-08,502.682285
2015-01-09,496.172244
2015-01-12,492.552239
2015-01-13,496.182251
2015-01-14,500.872267
2015-01-15,501.792271
2015-01-16,508.082288
2015-01-20,506.902294
2015-01-21,518.042373
2015-01-22,534.392388
2015-01-23,539.952437
2015-01-26,535.212448
2015-01-27,518.63237
2015-01-28,510.002318
2015-01-29,510.6623
2015-01-30,534.522445
2015-02-02,528.482381
2015-02-03,529.2424
2015-02-04,522.762349
2015-02-05,527.582391
2015-02-06,531.002415
2015-02-09,527.832406
2015-02-10,536.942412
2015-02-11,535.972405
2015-02-12,542.932472
2015-02-13,549.012501
2015-02-17,542.842443
2015-02-18,539.702422
2015-02-19,542.872432
2015-02-20,538.952441
2015-02-23,531.912381
2015-02-24,536.092424
2015-02-25,543.872489
2015-02-26,555.482516
2015-02-27,558.402511
2015-03-02,571.342601
2015-03-03,573.64261
2015-03-04,573.372583
2015-03-05,575.332609
2015-03-06,567.687558
2015-03-09,568.852557
2015-03-10,555.012538
2015-03-11,551.182515
2015-03-12,555.512505
2015-03-13,547.322503
2015-03-16,554.512509
2015-03-17,550.842471
2015-03-18,559.502513
2015-03-19,557.992512
2015-03-20,560.362537
2015-03-23,558.81251
2015-03-24,570.192597
2015-03-25,558.787539
2015-03-26,555.172522
2015-03-27,548.342512
2015-03-30,552.032502
2015-03-31,548.002468
2015-04-01,542.562439
2015-04-02,535.532417
2015-04-06,536.767432
2015-04-07,537.022404
2015-04-08,541.612446
2015-04-09,540.782472
2015-04-10,540.012416
2015-04-13,539.172466
2015-04-14,530.392405
2015-04-15,532.532429
2015-04-16,533.802391
2015-04-17,524.052386
2015-04-20,535.382408
2015-04-21,533.972413
2015-04-22,539.367458
2015-04-23,547.002472
2015-04-24,565.062561
2015-04-27,555.369995
2015-04-28,553.679993
2015-04-29,549.080017
2015-04-30,537.340027
2015-05-01,537.900024
2015-05-04,540.780029
2015-05-05,530.799988
2015-05-06,524.219971
2015-05-07,530.700012
2015-05-08,538.219971
2015-05-11,535.700012
2015-05-12,529.039978
2015-05-13,529.619995
2015-05-14,538.400024
2015-05-15,533.849976
2015-05-18,532.299988
2015-05-19,537.359985
2015-05-20,539.27002
2015-05-21,542.51001
2015-05-22,540.109985
2015-05-26,532.320007
2015-05-27,539.789978
2015-05-28,539.780029
2015-05-29,532.109985
2015-06-01,533.98999
2015-06-02,539.179993
2015-06-03,540.309998
2015-06-04,536.700012
2015-06-05,533.330017
2015-06-08,526.830017
2015-06-09,526.690002
2015-06-10,536.690002
2015-06-11,534.609985
2015-06-12,532.330017
2015-06-15,527.200012
2015-06-16,528.150024
2015-06-17,529.26001
2015-06-18,536.72998
2015-06-19,536.690002
2015-06-22,538.190002
2015-06-23,540.47998
2015-06-24,537.840027
2015-06-25,535.22998
2015-06-26,531.690002
2015-06-29,521.52002
2015-06-30,520.51001
2015-07-01,521.840027
2015-07-02,523.400024
2015-07-06,522.859985
2015-07-07,525.02002
2015-07-08,516.830017
2015-07-09,520.679993
2015-07-10,530.130005
2015-07-13,546.549988
2015-07-14,561.099976
2015-07-15,560.219971
2015-07-16,579.849976
2015-07-17,672.929993
2015-07-20,663.02002
2015-07-21,662.299988
2015-07-22,662.099976
2015-07-23,644.280029
2015-07-24,623.559998
2015-07-27,627.26001
2015-07-28,628.0
2015-07-29,631.929993
2015-07-30,632.590027
2015-07-31,625.609985
2015-08-03,631.210022
2015-08-04,629.25
2015-08-05,643.780029
2015-08-06,642.679993
2015-08-07,635.299988
2015-08-10,633.72998
2015-08-11,660.780029
2015-08-12,659.559998
2015-08-13,656.450012
2015-08-14,657.119995
2015-08-17,660.869995
2015-08-18,656.130005
2015-08-19,660.900024
2015-08-20,646.830017
2015-08-21,612.47998
2015-08-24,589.609985
2015-08-25,582.059998
2015-08-26,628.619995
2015-08-27,637.609985
2015-08-28,630.380005
2015-08-31,618.25
2015-09-01,597.789978
2015-09-02,614.340027
2015-09-03,606.25
2015-09-04,600.700012
2015-09-08,614.659973
2015-09-09,612.719971
2015-09-10,621.349976
2015-09-11,625.77002
2015-09-14,623.23999
2015-09-15,635.140015
2015-09-16,635.97998
2015-09-17,642.900024
2015-09-18,629.25
2015-09-21,635.440002
2015-09-22,622.690002
2015-09-23,622.359985
2015-09-24,625.799988
2015-09-25,611.969971
2015-09-28,594.890015
2015-09-29,594.969971
2015-09-30,608.419983
2015-10-01,611.289978
2015-10-02,626.909973
2015-10-05,641.469971
2015-10-06,645.440002
2015-10-07,642.359985
2015-10-08,639.159973
2015-10-09,643.609985
2015-10-12,646.669983
2015-10-13,652.299988
2015-10-14,651.159973
2015-10-15,661.73999
2015-10-16,662.200012
2015-10-19,666.099976
2015-10-20,650.280029
2015-10-21,642.609985
2015-10-22,651.789978
2015-10-23,702.0
2015-10-26,712.780029
2015-10-27,708.48999
2015-10-28,712.950012
2015-10-29,716.919983
2015-10-30,710.809998
2015-11-02,721.109985
2015-11-03,722.159973
2015-11-04,728.109985
2015-11-05,731.25
2015-11-06,733.76001
2015-11-09,724.890015
2015-11-10,728.320007
2015-11-11,735.400024
2015-11-12,731.22998
2015-11-13,717.0
2015-11-16,728.960022
2015-11-17,725.299988
2015-11-18,740.0
2015-11-19,738.409973
2015-11-20,756.599976
2015-11-23,755.97998
2015-11-24,748.280029
2015-11-25,748.150024
2015-11-27,750.26001
2015-11-30,742.599976
2015-12-01,767.039978
2015-12-02,762.380005
2015-12-03,752.539978
2015-12-04,766.809998
2015-12-07,763.25
2015-12-08,762.369995
2015-12-09,751.609985
2015-12-10,749.460022
2015-12-11,738.869995
2015-12-14,747.77002
2015-12-15,743.400024
2015-12-16,758.090027
2015-12-17,749.429993
2015-12-18,739.309998
2015-12-21,747.77002
2015-12-22,750.0
2015-12-23,750.309998
2015-12-24,748.400024
2015-12-28,762.51001
2015-12-29,776.599976
2015-12-30,771.0
2015-12-31,758.880005
2016-01-04,741.840027
2016-01-05,742.580017
2016-01-06,743.619995
2016-01-07,726.390015
2016-01-08,714.469971
2016-01-11,716.030029
2016-01-12,726.070007
2016-01-13,700.559998
2016-01-14,714.719971
